GB/T 25914-2023	GB/T 25914-2010	Onon Sonin Sans
ᠭᠣᠪᠢ	ᠭᠣᠪᠢ	ᠭᠣᠪᠢ
ᠭᠤ	ᠭᠤ	ᠭᠤ
ᠭᠤᠨᠢᠭᠲᠠᠢ	ᠭᠤᠨᠢᠭᠲᠠᠶ	ᠭᠤᠨᠢᠭᠲᠠᠶ
ᠭᠥ	ᠭᠥ᠋	ᠭᠥ᠋
ᠭᠦ	ᠭᠦ᠋	ᠭᠦ᠋
ᠭᠦᠨ	ᠭᠦᠨ	ᠭᠦᠨ
ᠮᠠ	ᠮᠠ	ᠮᠠ
ᠮᠠᠷᠲᠠᠨ᠎ᠠ	ᠮᠠᠷᠲᠠᠨ᠎ᠠ	ᠮᠠᠷᠲᠠᠨ᠎ᠠ
ᠮᠡ	ᠮᠡ	ᠮᠡ
ᠮᠡᠲᠦ	ᠮᠡᠲᠦ	ᠮᠡᠲᠦ
ᠮᠡᠳᠡᠵᠦ	ᠮᠡᠳᠡᠵᠦ	ᠮᠡᠳᠡᠵᠦ
ᠮᠢ	ᠮᠢ	ᠮᠢ
ᠮᠢᠨᠤ	ᠮᠢᠨᠤ	ᠮᠢᠨᠤ
ᠮᠢᠨᠦ	ᠮᠢᠨᠦ	ᠮᠢᠨᠦ
ᠮᠣ	ᠮᠣ	ᠮᠣ
ᠮᠤ	ᠮᠤ	ᠮᠤ
ᠮᠥ	ᠮᠥ᠋	ᠮᠥ᠋
ᠮᠥᠩᠬᠡ	ᠮᠥᠩᠬᠡ	ᠮᠥᠩᠬᠡ
ᠮᠥᠬᠥᠭᠰᠡᠨ	ᠮᠥᠬᠥᠭᠰᠡᠨ	ᠮᠥᠬᠥᠭᠰᠡᠨ
ᠮᠥᠷ᠎ᠢᠶᠡᠨ	ᠮᠥᠷ ᠢᠶᠡᠨ	ᠮᠥᠷ ᠢᠶᠡᠨ
ᠮᠦ	ᠮᠦ᠋	ᠮᠦ᠋
ᠯᠠ	ᠯᠠ	ᠯᠠ
ᠯᠡ	ᠯᠡ	ᠯᠡ
ᠯᠢ	ᠯᠢ	ᠯᠢ
ᠯᠢᠩᠬᠤ᠎ᠠ	ᠯᠢᠩᠬᠤ᠎ᠠ	ᠯᠢᠩᠬᠤ᠎ᠠ
ᠯᠣ	ᠯᠣ	ᠯᠣ
ᠯᠤ	ᠯᠤ	ᠯᠤ
ᠯᠥ	ᠯᠥ᠋	ᠯᠥ᠋
ᠯᠦ	ᠯᠦ᠋	ᠯᠦ᠋
ᠰᠠ	ᠰᠠ	ᠰᠠ
ᠰᠠᠢᠨ	ᠰᠠᠶᠢᠨ	ᠰᠠᠶᠢᠨ
ᠰᠠᠢᠬᠠᠨ	ᠰᠠᠶᠢᠬᠠᠨ	ᠰᠠᠶᠢᠬᠠᠨ
ᠰᠠᠨᠠᠪᠠᠴᠤ	ᠰᠠᠨᠠᠪᠠᠴᠤ	ᠰᠠᠨᠠᠪᠠᠴᠤ
ᠰᠠᠨᠠᠭ᠎ᠠ	ᠰᠠᠨᠠᠭ᠎ᠠ	ᠰᠠᠨᠠᠭ᠎ᠠ
ᠰᠠᠨᠠᠳᠠᠭ᠎ᠶᠤᠮ	ᠰᠠᠨᠠᠳᠠᠭ ᠶᠤᠮ	ᠰᠠᠨᠠᠳᠠᠭ ᠶᠤᠮ
ᠰᠠᠭᠠᠳ᠎ᠲᠤ	ᠰᠠᠭᠠᠳ ᠲᠤ	ᠰᠠᠭᠠᠳ ᠲᠤ
ᠰᠠᠭᠠᠳ᠎ᠲᠤᠷ	ᠰᠠᠭᠠᠳ ᠲᠤᠷ	ᠰᠠᠭᠠᠳ ᠲᠤᠷ
ᠰᠠᠭᠠᠷᠠᠤ	ᠰᠠᠭᠠᠷᠠᠸ	ᠰᠠᠭᠠᠷᠠᠸ
ᠰᠠᠭᠠᠷᠠᠭᠤ	ᠰᠠᠭᠠᠷᠠᠭᠤ	ᠰᠠᠭᠠᠷᠠᠭᠤ
ᠰᠠᠭᠤᠨ᠎ᠠ	ᠰᠠᠭᠤᠨ᠎ᠠ	ᠰᠠᠭᠤᠨ᠎ᠠ
ᠰᠠᠭᠤᠭᠠᠳ	ᠰᠠᠭᠤᠭᠠᠳ	ᠰᠠᠭᠤᠭᠠᠳ
ᠰᠠᠮᠪᠠᠷ᠎ᠠ	ᠰᠠᠮᠪᠠᠷ᠎ᠠ	ᠰᠠᠮᠪᠠᠷ᠎ᠠ
ᠰᠠᠯᠬᠢ	ᠰᠠᠯᠬᠢ	ᠰᠠᠯᠬᠢ
ᠰᠠᠯᠬᠢᠨ᠎ᠳᠤ	ᠰᠠᠯᠬᠢᠨ ᠳᠤ	ᠰᠠᠯᠬᠢᠨ ᠳᠤ
ᠰᠠᠯᠬᠢᠨ᠎ᠳᠤᠷ	ᠰᠠᠯᠬᠢᠨ ᠳᠤᠷ	ᠰᠠᠯᠬᠢᠨ ᠳᠤᠷ
ᠰᠠᠷᠠ	ᠰᠠᠷᠠ	ᠰᠠᠷᠠ
ᠰᠠᠷᠠᠨ᠎ᠠ	ᠰᠠᠷᠠᠨ᠎ᠠ	ᠰᠠᠷᠠᠨ᠎ᠠ
ᠰᠠᠷᠨᠢᠭᠰᠠᠨ	ᠰᠠᠷᠨᠢᠭᠰᠠᠨ	ᠰᠠᠷᠨᠢᠭᠰᠠᠨ
ᠰᠡ	ᠰᠡ	ᠰᠡ
ᠰᠢ	ᠰᠢ	ᠰᠢ
ᠰᠢᠪᠠᠷ᠎ᠠᠴᠠ	ᠰᠢᠪᠠᠷ ᠠᠴᠠ	ᠰᠢᠪᠠᠷ ᠠᠴᠠ
ᠰᠢᠭ	ᠰᠢᠭ	ᠰᠢᠭ
ᠰᠢᠭ᠋	ᠰᠢᠭ᠋	ᠰᠢᠭ᠋
ᠰᠢᠯᠤᠭᠤᠨ	ᠰᠢᠯᠤᠭᠤᠨ	ᠰᠢᠯᠤᠭᠤᠨ
ᠰᠢᠷᠬ᠎ᠠ	ᠰᠢᠷᠬ᠎ᠠ	ᠰᠢᠷᠬ᠎ᠠ
ᠰᠣ	ᠰᠣ	ᠰᠣ
ᠰᠣᠯᠣᠩᠭᠠᠨ	ᠰᠣᠯᠣᠩᠭᠠᠨ	ᠰᠣᠯᠣᠩᠭᠠᠨ
ᠰᠤ	ᠰᠤ	ᠰᠤ
ᠰᠤᠩᠬᠤ	ᠰᠤᠩᠬᠤ	ᠰᠤᠩᠬᠤ
ᠰᠤᠷᠤᠯᠴᠠᠨ᠎ᠠ	ᠰᠤᠷᠤᠯᠴᠠᠨ᠎ᠠ	ᠰᠤᠷᠤᠯᠴᠠᠨ᠎ᠠ
ᠰᠥ	ᠰᠥ᠋	ᠰᠥ᠋
ᠰᠥᠨᠢ᠎ᠶᠢᠨ	ᠰᠥᠨᠢ ᠶᠢᠨ	ᠰᠥᠨᠢ ᠶᠢᠨ
ᠰᠥᠨᠢᠨ᠎ᠦ	ᠰᠥᠨᠢᠨ ᠦ	ᠰᠥᠨᠢᠨ ᠦ
ᠰᠦ	ᠰᠦ	ᠰᠦ
ᠱᠠ	ᠱᠠ	ᠱᠠ
ᠱᠡ	ᠱᠡ	ᠱᠡ
ᠱᠢ	ᠱᠢ	ᠱᠢ
ᠱᠣ	ᠱᠣ	ᠱᠣ
ᠱᠤ	ᠱᠤ	ᠱᠤ
ᠱᠥ	ᠱᠥ᠋	ᠱᠥ᠋
ᠱᠦ	ᠱᠦ᠋	ᠱᠦ᠋
ᠲᠠ	ᠲᠠ	ᠲᠠ
ᠲᠠᠯ᠎ᠠ	ᠲᠠᠯ᠎ᠠ	ᠲᠠᠯ᠎ᠠ
ᠲᠠᠯ᠎ᠠ᠎ᠶᠢᠨ	ᠲᠠᠯ᠎ᠠ ᠶᠢᠨ	ᠲᠠᠯ᠎ᠠ ᠶᠢᠨ
ᠲᠡ	ᠲᠡ	ᠲᠡ
ᠲᠡᠦᠬᠡ	ᠲᠡᠸᠬᠡ	ᠲᠡᠸᠬᠡ
ᠲᠡᠭᠡᠭᠡᠬᠦ	ᠲᠡᠭᠡᠭᠡᠬᠦ	ᠲᠡᠭᠡᠭᠡᠬᠦ
ᠲᠢ	ᠲᠢ	ᠲᠢ
ᠲᠣ	ᠲᠣ	ᠲᠣ
ᠲᠣᠭᠣᠭᠳᠠᠵᠤ	ᠲᠣᠭᠣᠭᠳᠠᠵᠤ	ᠲᠣᠭᠣᠭᠳᠠᠵᠤ
ᠲᠣᠭᠣᠰᠣ	ᠲᠣᠭᠣᠰᠣ	ᠲᠣᠭᠣᠰᠣ
ᠲᠣᠭᠤᠭᠳᠠᠵᠤ	ᠲᠣᠭᠤᠭᠳᠠᠵᠤ	ᠲᠣᠭᠤᠭᠳᠠᠵᠤ
ᠲᠣᠭᠤᠰᠤᠨ	ᠲᠣᠭᠤᠰᠤᠨ	ᠲᠣᠭᠤᠰᠤᠨ
ᠲᠣᠭᠲᠠᠭᠠᠵᠤ	ᠲᠣᠭᠲᠠᠭᠠᠵᠤ	ᠲᠣᠭᠲᠠᠭᠠᠵᠤ
ᠲᠣᠭᠲᠠᠮᠠᠯ	ᠲᠣᠭᠲᠠᠮᠠᠯ	ᠲᠣᠭᠲᠠᠮᠠᠯ
ᠲᠣᠮᠣ	ᠲᠣᠮᠣ	ᠲᠣᠮᠣ
ᠲᠣᠯᠣᠭᠠᠢ᠎ᠪᠠᠨ	ᠲᠣᠯᠣᠭᠠᠶ ᠪᠠᠨ	ᠲᠣᠯᠣᠭᠠᠶ ᠪᠠᠨ
ᠲᠣᠯᠣᠭᠠᠢ᠎ᠶᠢᠨ	ᠲᠣᠯᠣᠭᠠᠶ ᠶᠢᠨ	ᠲᠣᠯᠣᠭᠠᠶ ᠶᠢᠨ
ᠲᠤ	ᠲᠤ᠋	ᠲᠤ᠋
ᠲᠤᠬᠠᠢ	ᠲᠤᠬᠠᠶ	ᠲᠤᠬᠠᠶ
ᠲᠤᠰᠠ	ᠲᠤᠰᠠ	ᠲᠤᠰᠠ
ᠲᠤᠰᠠᠭᠠᠷᠯᠠᠵᠤ	ᠲᠤᠰᠠᠭᠠᠷᠯᠠᠵᠤ	ᠲᠤᠰᠠᠭᠠᠷᠯᠠᠵᠤ
ᠲᠤᠶᠠᠭᠠᠷᠠᠬᠤ	ᠲᠤᠶᠠᠭᠠᠷᠠᠬᠤ	ᠲᠤᠶᠠᠭᠠᠷᠠᠬᠤ
ᠲᠥ	ᠲᠥ᠋	ᠲᠥ᠋
ᠲᠦ	ᠲᠦ᠋	ᠲᠦ᠋
ᠲᠦᠪᠡᠷᠭᠡᠨ	ᠲᠦᠪᠡᠷᠭᠡᠨ	ᠲᠦᠪᠡᠷᠭᠡᠨ
ᠲᠦᠷᠡᠨ᠎ᠡ	ᠲᠦᠷᠡᠨ᠎ᠡ	ᠲᠦᠷᠡᠨ᠎ᠡ
ᠲᠩᠷᠢ	ᠲᠩᠷᠢ	ᠲᠩᠷᠢ
ᠲᠩᠷᠢ᠎ᠳᠦ	ᠲᠩᠷᠢ ᠳᠦ	ᠲᠩᠷᠢ ᠳᠦ
ᠲᠩᠷᠢ᠎ᠳᠦᠷ	ᠲᠩᠷᠢ ᠳᠦᠷ	ᠲᠩᠷᠢ ᠳᠦᠷ
ᠳᠠ	ᠳ᠋ᠠ	ᠳ᠋ᠠ
ᠳᠠᠪᠰᠢᠨ᠎ᠠ	ᠳᠠᠪᠰᠢᠨ᠎ᠠ	ᠳᠠᠪᠰᠢᠨ᠎ᠠ
ᠳᠠᠪᠰᠢᠮᠤ	ᠳᠠᠪᠰᠢᠮᠤ	ᠳᠠᠪᠰᠢᠮᠤ
ᠳᠠᠭᠤ	ᠳᠠᠭᠤ	ᠳᠠᠭᠤ
ᠳᠠᠭᠤᠤ	ᠳᠠᠭᠤᠸ	ᠳᠠᠭᠤᠸ
ᠳᠠᠭᠤᠨ	ᠳᠠᠭᠤᠨ	ᠳᠠᠭᠤᠨ
ᠳᠠᠭᠤᠰᠬᠤ	ᠳᠠᠭᠤᠰᠬᠤ	ᠳᠠᠭᠤᠰᠬᠤ
ᠳᠡ	ᠳ᠋ᠡ	ᠳ᠋ᠡ
ᠳᠡᠪᠢᠨ	ᠳᠡᠪᠢᠨ	ᠳᠡᠪᠢᠨ
ᠳᠡᠪᠢᠨ᠎ᠡ	ᠳᠡᠪᠢᠨ᠎ᠡ	ᠳᠡᠪᠢᠨ᠎ᠡ
ᠳᠡᠭᠡᠷ᠎ᠡ	ᠳᠡᠭᠡᠷ᠎ᠡ	ᠳᠡᠭᠡᠷ᠎ᠡ
ᠳᠡᠯᠡᠬᠡᠢ᠎ᠶᠢᠨ	ᠳᠡᠯᠡᠬᠡᠶ ᠶᠢᠨ	ᠳᠡᠯᠡᠬᠡᠶ ᠶᠢᠨ
ᠳᠢ	ᠳ᠋ᠢ	ᠳ᠋ᠢ
ᠳᠣ	ᠳ᠋ᠣ	ᠳ᠋ᠣ
ᠳᠣᠮᠣᠭ	ᠳᠣᠮᠣᠭ	ᠳᠣᠮᠣᠭ
ᠳᠣᠮᠣᠭᠲᠤ	ᠳᠣᠮᠣᠭᠲᠤ	ᠳᠣᠮᠣᠭᠲᠤ
ᠳᠣᠲᠣᠨᠣ᠎ᠶᠢᠨ	ᠳᠣᠲᠣᠨᠣ ᠶᠢᠨ	ᠳᠣᠲᠣᠨᠣ ᠶᠢᠨ
ᠳᠣᠲᠣᠷ᠎ᠠ	ᠳᠣᠲᠣᠷ᠎ᠠ	ᠳᠣᠲᠣᠷ᠎ᠠ
ᠳᠤ	ᠳ᠋ᠤ᠋	ᠳ᠋ᠤ᠋
ᠳᠤᠷᠠᠰᠤᠮᠵᠢ	ᠳᠤᠷᠠᠰᠤᠮᠵᠢ	ᠳᠤᠷᠠᠰᠤᠮᠵᠢ
ᠳᠥ	ᠳ᠋ᠥ᠋	ᠳ᠋ᠥ᠋
ᠳᠦ	ᠳ᠋ᠦ᠋	ᠳ᠋ᠦ᠋
ᠴᠠ	ᠴᠠ	ᠴᠠ
ᠴᠠᠭ	ᠴᠠᠭ	ᠴᠠᠭ
ᠴᠠᠭ᠎ᠴᠤ	ᠴᠠᠭ ᠴᠤ	ᠴᠠᠭ ᠴᠤ
ᠴᠠᠭᠠᠨ	ᠴᠠᠭᠠᠨ	ᠴᠠᠭᠠᠨ
ᠴᠠᠷᠴᠠᠪᠠ	ᠴᠠᠷᠴᠠᠪᠠ	ᠴᠠᠷᠴᠠᠪᠠ
ᠴᠠᠷᠴᠠᠪᠠᠢ	ᠴᠠᠷᠴᠠᠪᠠᠶ	ᠴᠠᠷᠴᠠᠪᠠᠶ
ᠴᠡ	ᠴᠡ	ᠴᠡ
ᠴᠡᠩᠬᠡᠷ	ᠴᠡᠩᠬᠡᠷ	ᠴᠡᠩᠬᠡᠷ
ᠴᠡᠩᠭᠡᠨ	ᠴᠡᠩᠭᠡᠨ	ᠴᠡᠩᠭᠡᠨ
ᠴᠡᠩᠭᠡᠨ᠎ᠡ	ᠴᠡᠩᠭᠡᠨ᠎ᠡ	ᠴᠡᠩᠭᠡᠨ᠎ᠡ
ᠴᠡᠩᠭᠡᠭ	ᠴᠡᠩᠭᠡᠭ	ᠴᠡᠩᠭᠡᠭ
ᠴᠡᠪᠡᠷ	ᠴᠡᠪᠡᠷ	ᠴᠡᠪᠡᠷ
ᠴᠡᠭᠡᠯ᠎ᠡᠴᠡ᠎ᠪᠡᠨ	ᠴᠡᠭᠡᠯ ᠡᠴᠡ ᠪᠡᠨ	ᠴᠡᠭᠡᠯ ᠡᠴᠡ ᠪᠡᠨ
ᠴᠡᠭᠡᠵᠢᠯᠡᠭᠡᠳ	ᠴᠡᠭᠡᠵᠢᠯᠡᠭᠡᠳ	ᠴᠡᠭᠡᠵᠢᠯᠡᠭᠡᠳ
ᠴᠡᠴᠡᠭ	ᠴᠡᠴᠡᠭ	ᠴᠡᠴᠡᠭ
ᠴᠢ	ᠴᠢ	ᠴᠢ
ᠴᠢᠨᠠᠭᠰᠢ	ᠴᠢᠨᠠᠭᠰᠢ	ᠴᠢᠨᠠᠭᠰᠢ
ᠴᠢᠨᠢ	ᠴᠢᠨᠢ	ᠴᠢᠨᠢ
ᠴᠢᠨᠦ	ᠴᠢᠨᠦ	ᠴᠢᠨᠦ
ᠴᠢᠬᠤᠯᠠ	ᠴᠢᠬᠤᠯᠠ	ᠴᠢᠬᠤᠯᠠ
ᠴᠢᠳᠠᠬᠤ	ᠴᠢᠳᠠᠬᠤ	ᠴᠢᠳᠠᠬᠤ
ᠴᠢᠳᠠᠬᠤ᠎ᠦᠭᠡᠢ	ᠴᠢᠳᠠᠬᠤ ᠦᠭᠡᠶ	ᠴᠢᠳᠠᠬᠤ ᠦᠭᠡᠶ
ᠴᠢᠷᠮᠠᠢᠨ	ᠴᠢᠷᠮᠠᠶᠢᠨ	ᠴᠢᠷᠮᠠᠶᠢᠨ
ᠴᠣ	ᠴᠣ	ᠴᠣ
ᠴᠤ	ᠴᠤ᠋	ᠴᠤ᠋
ᠴᠥ	ᠴᠥ᠋	ᠴᠥ᠋
ᠴᠦ	ᠴᠦ᠋	ᠴᠦ᠋
ᠵᠠ	ᠵᠠ	ᠵᠠ
ᠵᠠᠭᠤᠷ᠎ᠠ	ᠵᠠᠭᠤᠷ᠎ᠠ	ᠵᠠᠭᠤᠷ᠎ᠠ
ᠵᠠᠮ᠎ᠳᠤ᠎ᠪᠠᠨ	ᠵᠠᠮ ᠳᠤ ᠪᠠᠨ	ᠵᠠᠮ ᠳᠤ ᠪᠠᠨ
ᠵᠠᠮ᠎ᠳᠤᠷ᠎ᠢᠶᠠᠨ	ᠵᠠᠮ ᠳᠤᠷ ᠢᠶᠠᠨ	ᠵᠠᠮ ᠳᠤᠷ ᠢᠶᠠᠨ
ᠵᠡ	ᠵᠡ	ᠵᠡ
ᠵᠡᠭᠦᠳᠦᠨ᠎ᠳᠦ᠎ᠪᠡᠨ	ᠵᠡᠭᠦᠳᠦᠨ ᠳᠦ ᠪᠡᠨ	ᠵᠡᠭᠦᠳᠦᠨ ᠳᠦ ᠪᠡᠨ
ᠵᠡᠭᠦᠳᠦᠨ᠎ᠳᠦᠷ᠎ᠢᠶᠡᠨ	ᠵᠡᠭᠦᠳᠦᠨ ᠳᠦᠷ ᠢᠶᠡᠨ	ᠵᠡᠭᠦᠳᠦᠨ ᠳᠦᠷ ᠢᠶᠡᠨ
ᠵᠡᠭᠦᠷᠮᠡᠭ	ᠵᠡᠭᠦᠷᠮᠡᠭ	ᠵᠡᠭᠦᠷᠮᠡᠭ
ᠵᠡᠷᠭᠡᠯᠭᠡ	ᠵᠡᠷᠭᠡᠯᠭᠡ	ᠵᠡᠷᠭᠡᠯᠭᠡ
ᠵᠡᠷᠭᠡᠯᠭᠡᠨ	ᠵᠡᠷᠭᠡᠯᠭᠡᠨ	ᠵᠡᠷᠭᠡᠯᠭᠡᠨ
ᠵᠢ	ᠵᠢ	ᠵᠢ
ᠵᠢᠭᠰᠢᠮᠡᠷ	ᠵᠢᠭᠰᠢᠮᠡᠷ	ᠵᠢᠭᠰᠢᠮᠡᠷ
ᠵᠢᠷᠦᠬᠡᠨ᠎ᠦ᠎ᠪᠡᠨ	ᠵᠢᠷᠦᠬᠡᠨ ᠦ ᠪᠡᠨ	ᠵᠢᠷᠦᠬᠡᠨ ᠦ ᠪᠡᠨ
ᠵᠣ	ᠵᠣ	ᠵᠣ
ᠵᠤ	ᠵᠤ	ᠵᠤ
ᠵᠤᠨ᠎ᠤ	ᠵᠤᠨ ᠤ	ᠵᠤᠨ ᠤ
ᠵᠥ	ᠵᠥ᠋	ᠵᠥ᠋
ᠵᠦ	ᠵᠦ᠋	ᠵᠦ᠋
ᠵᠦᠭᠡᠷ	ᠵᠦᠭᠡᠷ	ᠵᠦᠭᠡᠷ
ᠶᠠ	ᠶᠠ	ᠶᠠ
ᠶᠠᠪᠤᠨ᠎ᠠ	ᠶᠠᠪᠤᠨ᠎ᠠ	ᠶᠠᠪᠤᠨ᠎ᠠ
ᠶᠠᠪᠤᠮᠤ	ᠶᠠᠪᠤᠮᠤ	ᠶᠠᠪᠤᠮᠤ
ᠶᠠᠮᠠᠷ᠎ᠴᠤ	ᠶᠠᠮᠠᠷ ᠴᠤ	ᠶᠠᠮᠠᠷ ᠴᠤ
ᠶᠠᠳᠠᠬᠤ	ᠶᠠᠳᠠᠬᠤ	ᠶᠠᠳᠠᠬᠤ
ᠶᠠᠳᠠᠭᠳᠠᠬᠤ᠎ᠠᠴᠠ	ᠶᠠᠳᠠᠭᠳᠠᠬᠤ ᠠᠴᠠ	ᠶᠠᠳᠠᠭᠳᠠᠬᠤ ᠠᠴᠠ
ᠶᠠᠷᠢᠨ᠎ᠠ	ᠶᠠᠷᠢᠨ᠎ᠠ	ᠶᠠᠷᠢᠨ᠎ᠠ
ᠶᠡ	ᠶᠡ	ᠶᠡ
ᠶᠡᠬᠡ	ᠶᠡᠬᠡ	ᠶᠡᠬᠡ
ᠶᠢ	ᠶᠢ	ᠶᠢ
ᠶᠣ	ᠶᠣ	ᠶᠣ
ᠶᠤ	ᠶᠤ	ᠶᠤ
ᠶᠥ	ᠶᠥ᠋	ᠶᠥ᠋
ᠶᠦ	ᠶᠦ᠋	ᠶᠦ᠋
ᠷᠠ	ᠷᠠ	ᠷᠠ
ᠷᠡ	ᠷᠡ	ᠷᠡ
ᠷᠢ	ᠷᠢ	ᠷᠢ
ᠷᠣ	ᠷᠣ	ᠷᠣ
ᠷᠤ	ᠷᠤ	ᠷᠤ
ᠷᠥ	ᠷᠥ᠋	ᠷᠥ᠋
ᠷᠦ	ᠷᠦ᠋	ᠷᠦ᠋
《	︽	︽
》	︾	︾
！	︕	︕
？	︖	︖
