GB/T 25914-2023	GB/T 25914-2010	Onon Sonin Sans
ᠪᠤ	ᠪᠤ	ᠪᠤ
ᠪᠤᠰᠤᠳ᠎ᠲᠤ	ᠪᠤᠰᠤᠳ ᠲᠤ	ᠪᠤᠰᠤᠳ ᠲᠤ
ᠪᠤᠶᠤ	ᠪᠤᠶᠤ	ᠪᠤᠶᠤ
ᠪᠤᠷᠲᠠᠭ	ᠪᠤᠷᠲᠠᠭ	ᠪᠤᠷᠲᠠᠭ
ᠪᠥ	ᠪᠥ᠋	ᠪᠥ᠋
ᠪᠥᠵᠢᠬᠦ	ᠪᠥᠵᠢᠬᠦ	ᠪᠥᠵᠢᠬᠦ
ᠪᠥᠵᠢᠭᠡᠳ	ᠪᠥᠵᠢᠭᠡᠳ	ᠪᠥᠵᠢᠭᠡᠳ
ᠪᠦ	ᠪᠦ᠋	ᠪᠦ᠋
ᠪᠦᠯᠢᠶᠡᠨ	ᠪᠦᠯᠢᠶᠡᠨ	ᠪᠦᠯᠢᠶᠡᠨ
ᠪᠦᠳᠡᠭᠢ	ᠪᠦᠳᠡᠭᠢ	ᠪᠦᠳᠡᠭᠢ
ᠪᠦᠷᠢ	ᠪᠦᠷᠢ	ᠪᠦᠷᠢ
ᠫᠠ	ᠫᠠ	ᠫᠠ
ᠫᠡ	ᠫᠡ	ᠫᠡ
ᠫᠢ	ᠫᠢ	ᠫᠢ
ᠫᠣ	ᠫᠣ	ᠫᠣ
ᠫᠤ	ᠫᠤ	ᠫᠤ
ᠫᠥ	ᠫᠥ᠋	ᠫᠥ᠋
ᠫᠦ	ᠫᠦ᠋	ᠫᠦ᠋
ᠬᠠ	ᠬᠠ	ᠬᠠ
ᠬᠠᠨ	ᠬᠠᠨ	ᠬᠠᠨ
ᠬᠠᠩᠭᠠᠢ	ᠬᠠᠩᠭᠠᠶ	ᠬᠠᠩᠭᠠᠶ
ᠬᠠᠪᠤᠷ᠎ᠤᠨ	ᠬᠠᠪᠤᠷ ᠤᠨ	ᠬᠠᠪᠤᠷ ᠤᠨ
ᠬᠠᠮᠲᠤ	ᠬᠠᠮᠲᠤ	ᠬᠠᠮᠲᠤ
ᠬᠠᠯᠠᠭᠤᠨ	ᠬᠠᠯᠠᠭᠤᠨ	ᠬᠠᠯᠠᠭᠤᠨ
ᠬᠠᠰᠢᠭᠳᠠᠵᠤ	ᠬᠠᠰᠢᠭᠳᠠᠵᠤ	ᠬᠠᠰᠢᠭᠳᠠᠵᠤ
ᠬᠠᠵᠠᠭᠤᠳᠠ	ᠬᠠᠵᠠᠭᠤᠳᠠ	ᠬᠠᠵᠠᠭᠤᠳᠠ
ᠬᠠᠷᠠᠨ᠎ᠠ	ᠬᠠᠷᠠᠨ᠎ᠠ	ᠬᠠᠷᠠᠨ᠎ᠠ
ᠬᠠᠷᠠᠬᠤ	ᠬᠠᠷᠠᠬᠤ	ᠬᠠᠷᠠᠬᠤ
ᠬᠠᠷᠠᠭᠰᠠᠨ᠎ᠦᠭᠡᠢ	ᠬᠠᠷᠠᠭᠰᠠᠨ ᠦᠭᠡᠶ	ᠬᠠᠷᠠᠭᠰᠠᠨ ᠦᠭᠡᠶ
ᠬᠠᠷᠠᠮᠤ	ᠬᠠᠷᠠᠮᠤ	ᠬᠠᠷᠠᠮᠤ
ᠬᠠᠷᠠᠮᠰᠠᠨ᠎ᠠ	ᠬᠠᠷᠠᠮᠰᠠᠨ᠎ᠠ	ᠬᠠᠷᠠᠮᠰᠠᠨ᠎ᠠ
ᠬᠠᠷᠢᠭᠤᠯᠲᠠ᠎ᠶᠢ	ᠬᠠᠷᠢᠭᠤᠯᠲᠠ ᠶᠢ	ᠬᠠᠷᠢᠭᠤᠯᠲᠠ ᠶᠢ
ᠬᠡ	ᠬᠡ	ᠬᠡ
ᠬᠡᠨ	ᠬᠡᠨ	ᠬᠡᠨ
ᠬᠡᠨ᠎ᠦ᠎ᠴᠦ	ᠬᠡᠨ ᠦ ᠴᠦ	ᠬᠡᠨ ᠦ ᠴᠦ
ᠬᠡᠨ᠎ᠲᠡᠢ᠎ᠴᠦ	ᠬᠡᠨ ᠲᠡᠶ ᠴᠦ	ᠬᠡᠨ ᠲᠡᠶ ᠴᠦ
ᠬᠡᠪ᠎ᠢᠶᠡᠷ᠎ᠢᠶᠡᠨ	ᠬᠡᠪ ᠢᠶᠡᠷ ᠢᠶᠡᠨ	ᠬᠡᠪ ᠢᠶᠡᠷ ᠢᠶᠡᠨ
ᠬᠡᠳᠦᠢ	ᠬᠡᠳᠦᠶ	ᠬᠡᠳᠦᠶ
